[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,540 | GPU Intel(R) HD Graphics 530 is used for display
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,542 | Found correct name from registry for device : GeForce GTX 1060, provider NVIDIA
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,547 | Found CUDA Device: NVIDIA GeForce GTX 1060
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,547 | GPU NVIDIA GeForce GTX 1060 is used for display
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,728 | GPUs detected: 1 integrated, 1 discrete, 2 OpenCL.Graphics interop capable.
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,728 | Detected uptime 3023s
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,729 | GPU Name = 'NVIDIA GeForce GTX 1060', Main display = 1
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,755 | Only 1 NVIDIA display GPU found. Using CUDA for processing.
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,755 | GLmap capable. GPUs: 1 discrete, 0 integrated, 0 external. Auto mapping, CUDA processing, main display not on external GPU.
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,755 | Setting LsManager.3.DisplayGPUName = NVIDIA GeForce GTX 1060
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,755 | Setting LsManager.3.DisplayGPUIndex = 0
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,755 | Setting LsManager.3.NumGPUs = 1
[0x00002c40] | IO                   | INFO  | 2020-07-21 12:34:03,755 | RED InitializeSdk with library path at C:\ProgramData\Blackmagic Design\DaVinci Resolve\Support\Libraries
[0x00002c40] | IO                   | INFO  | 2020-07-21 12:34:03,930 | R3DAPI 7.3.2-45A15 (20200609 W64S) R3DSDK 7.3.2-45A15 (20200609 W64D C3B3) RED CUDA 7.3.2-49499 (20200609) [C:\ProgramData\Blackmagic Design\DaVinci Resolve\Support\Libraries\] init is successful
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,930 | 0 RED rocket cards available
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,930 | Setting Local.DtManager.1.Red.Threads = 0
[0x00002c40] | SyManager.DeckLink   | ERROR | 2020-07-21 12:34:04,000 | Failed to create instance.
