t, E_left, E_center, E_right, E_exact_left, E_exact_center, E_exact_right
0.00592676,136.796,135.27,133.804,0,0,0
0.00594331,136.796,135.273,133.805,0,0,0
0.00595987,136.797,135.275,133.807,0,0,0
0.00597642,136.798,135.277,133.808,0,0,0
0.00599298,136.798,135.28,133.809,0,0,0
0.00600953,136.799,135.282,133.81,0,0,0
0.00602609,136.799,135.285,133.811,0,0,0
0.00604264,136.8,135.287,133.813,0,0,0
0.0060592,136.801,135.289,133.814,0,0,0
0.00607575,136.801,135.292,133.815,0,0,0
0.00609231,136.802,135.294,133.816,0,0,0
0.00610886,136.802,135.296,133.818,0,0,0
0.00612542,136.803,135.299,133.819,0,0,0
0.00614197,136.803,135.301,133.82,0,0,0
0.00615853,136.804,135.303,133.821,0,0,0
0.00617508,136.805,135.306,133.823,0,0,0
0.00619164,136.805,135.308,133.824,0,0,0
0.00620819,136.806,135.311,133.825,0,0,0
0.00622475,136.806,135.313,133.826,0,0,0
0.0062413,136.807,135.315,133.827,0,0,0
0.00625786,136.808,135.317,133.829,0,0,0
0.00627441,136.808,135.32,133.83,0,0,0
0.00629097,136.809,135.322,133.831,0,0,0
0.00630753,136.809,135.324,133.832,0,0,0
0.00632408,136.81,135.327,133.834,0,0,0
0.00634064,136.81,135.329,133.835,0,0,0
0.00635719,136.811,135.331,133.836,0,0,0
0.00637375,136.811,135.333,133.837,0,0,0
0.0063903,136.812,135.336,133.838,0,0,0
0.00640686,136.813,135.338,133.84,0,0,0
0.00642341,136.813,135.34,133.841,0,0,0
0.00643997,136.814,135.342,133.842,0,0,0
0.00645652,136.814,135.345,133.844,0,0,0
0.00647308,136.815,135.347,133.845,0,0,0
0.00648963,136.815,135.349,133.846,0,0,0
0.00650619,136.816,135.351,133.847,0,0,0
0.00652274,136.816,135.353,133.849,0,0,0
0.0065393,136.817,135.356,133.85,0,0,0
0.00655585,136.818,135.358,133.851,0,0,0
0.00657241,136.818,135.36,133.852,0,0,0
0.00658896,136.819,135.362,133.854,0,0,0
0.00660552,136.819,135.364,133.855,0,0,0
0.00662207,136.82,135.367,133.856,0,0,0
0.00663863,136.82,135.369,133.858,0,0,0
0.00665518,136.821,135.371,133.859,0,0,0
0.00667174,136.821,135.373,133.86,0,0,0
0.00668829,136.822,135.375,133.861,0,0,0
0.00670485,136.822,135.377,133.863,0,0,0
0.0067214,136.823,135.379,133.864,0,0,0
0.00673796,136.823,135.382,133.865,0,0,0
0.00675452,136.824,135.384,133.866,0,0,0
0.00677107,136.824,135.386,133.868,0,0,0
0.00678763,136.825,135.388,133.869,0,0,0
0.00680418,136.825,135.39,133.87,0,0,0
0.00682074,136.826,135.392,133.872,0,0,0
0.00683729,136.827,135.394,133.873,0,0,0
0.00685385,136.827,135.397,133.874,0,0,0
0.0068704,136.828,135.399,133.876,0,0,0
0.00688696,136.828,135.401,133.877,0,0,0
0.00690351,136.829,135.403,133.878,0,0,0
0.00692007,136.829,135.405,133.88,0,0,0
0.00693662,136.83,135.407,133.881,0,0,0
0.00695318,136.83,135.409,133.882,0,0,0
0.00696973,136.831,135.411,133.883,0,0,0
0.00698629,136.831,135.413,133.885,0,0,0
0.00700284,136.832,135.415,133.886,0,0,0
0.0070194,136.832,135.417,133.887,0,0,0
0.00703595,136.833,135.419,133.889,0,0,0
0.00705251,136.833,135.421,133.89,0,0,0
0.00706906,136.834,135.423,133.891,0,0,0
0.00708562,136.834,135.426,133.893,0,0,0
0.00710217,136.835,135.428,133.894,0,0,0
0.00711873,136.835,135.43,133.895,0,0,0
0.00713528,136.836,135.432,133.897,0,0,0
0.00715184,136.836,135.434,133.898,0,0,0
0.00716839,136.837,135.435,133.899,0,0,0
0.00718495,136.837,135.437,133.901,0,0,0
0.00720151,136.838,135.44,133.902,0,0,0
0.00721806,136.838,135.442,133.903,0,0,0
0.00723462,136.839,135.444,133.905,0,0,0
0.00725117,136.839,135.445,133.906,0,0,0
0.00726773,136.84,135.447,133.907,0,0,0
0.00728428,136.84,135.449,133.909,0,0,0
0.00730084,136.841,135.451,133.91,0,0,0
0.00731739,136.841,135.453,133.911,0,0,0
0.00733395,136.842,135.455,133.913,0,0,0
0.0073505,136.842,135.457,133.914,0,0,0
0.00736706,136.843,135.459,133.915,0,0,0
0.00738361,136.843,135.461,133.917,0,0,0
0.00740017,136.844,135.463,133.918,0,0,0
0.00741672,136.844,135.465,133.919,0,0,0
0.00743328,136.845,135.467,133.921,0,0,0
0.00744983,136.845,135.469,133.922,0,0,0
0.00746639,136.845,135.471,133.923,0,0,0
0.00748294,136.846,135.473,133.925,0,0,0
0.0074995,136.846,135.475,133.926,0,0,0
0.00751605,136.847,135.477,133.928,0,0,0
0.00753261,136.847,135.479,133.929,0,0,0
0.00754916,136.848,135.481,133.93,0,0,0
0.00756572,136.848,135.482,133.932,0,0,0
0.00758227,136.849,135.484,133.933,0,0,0
0.00759883,136.849,135.486,133.934,0,0,0
0.00761538,136.85,135.488,133.936,0,0,0
0.00763194,136.85,135.49,133.937,0,0,0
0.00764849,136.85,135.492,133.939,0,0,0
0.00766505,136.851,135.494,133.94,0,0,0
0.00768161,136.851,135.495,133.941,0,0,0
0.00769816,136.852,135.497,133.943,0,0,0
0.00771472,136.852,135.499,133.944,0,0,0
0.00773127,136.853,135.501,133.945,0,0,0
0.00774783,136.853,135.503,133.947,0,0,0
0.00776438,136.854,135.505,133.948,0,0,0
0.00778094,136.854,135.507,133.949,0,0,0
0.00779749,136.855,135.509,133.951,0,0,0
0.00781405,136.855,135.51,133.952,0,0,0
0.0078306,136.855,135.512,133.954,0,0,0
0.00784716,136.856,135.514,133.955,0,0,0
0.00786371,136.856,135.516,133.957,0,0,0
0.00788027,136.857,135.518,133.958,0,0,0
0.00789682,136.857,135.519,133.959,0,0,0
0.00791338,136.858,135.521,133.961,0,0,0
0.00792993,136.858,135.523,133.962,0,0,0
0.00794649,136.859,135.525,133.963,0,0,0
0.00796304,136.859,135.527,133.965,0,0,0
0.0079796,136.859,135.528,133.966,0,0,0
0.00799615,136.86,135.53,133.968,0,0,0
0.00801271,136.86,135.532,133.969,0,0,0
0.00802926,136.861,135.534,133.97,0,0,0
0.00804582,136.861,135.535,133.972,0,0,0
0.00806237,136.862,135.537,133.973,0,0,0
0.00807893,136.862,135.539,133.975,0,0,0
0.00809548,136.862,135.541,133.976,0,0,0
0.00811204,136.863,135.543,133.977,0,0,0
0.0081286,136.863,135.544,133.979,0,0,0
0.00814515,136.864,135.546,133.98,0,0,0
0.00816171,136.864,135.548,133.982,0,0,0
0.00817826,136.864,135.55,133.983,0,0,0
0.00819482,136.865,135.551,133.984,0,0,0
0.00821137,136.865,135.553,133.986,0,0,0
0.00822793,136.866,135.555,133.987,0,0,0
