x,T_radiation,T_matter
0.907,4.99756,4.99778
0.909,4.99759,4.99776
0.911,4.99762,4.99774
0.913,4.99792,4.99774
0.915,4.9982,4.99774
0.917,4.99779,4.99775
0.919,4.99783,4.99777
0.921,4.99787,4.9978
0.923,4.99791,4.99784
0.925,4.99829,4.99789
0.927,4.99825,4.99795
0.929,4.99829,4.99802
0.931,4.99833,4.99809
0.933,4.99837,4.99817
0.935,4.99866,4.99826
0.937,4.9987,4.99836
0.939,4.99864,4.99847
0.941,4.99877,4.99858
0.943,4.99924,4.99871
0.945,4.99928,4.99883
0.947,4.99932,4.99897
0.949,4.99961,4.99911
0.951,4.99964,4.99926
0.953,4.99955,4.99941
0.955,5.00014,4.99957
0.957,5.00017,4.99973
0.959,5.00005,4.9999
0.961,5.00038,5.00007
0.963,5.00041,5.00024
0.965,5.00075,5.00042
0.967,5.00126,5.0006
0.969,5.00096,5.00079
0.971,5.00148,5.00097
0.973,5.00134,5.00116
0.975,5.0017,5.00135
0.977,5.00172,5.00154
0.979,5.00209,5.00173
0.981,5.00228,5.00192
0.983,5.00264,5.0021
0.985,5.00266,5.00229
0.987,5.00301,5.00248
0.989,5.00303,5.00267
0.991,5.00304,5.00285
0.993,5.00356,5.00303
0.995,5.00357,5.00321
0.997,5.00357,5.00338
0.999,5.00374,5.00356
