t,E_left+F_left,E_left-F_left,E_right+F_right,E_right-F_right
0.0021588,28.5739,8.76822,8.575,8.575
0.00216542,28.5739,8.76881,8.575,8.575
0.00217204,28.5739,8.7694,8.575,8.575
0.00217866,28.5739,8.76999,8.575,8.575
0.00218528,28.5739,8.77058,8.575,8.575
0.00219191,28.5739,8.77117,8.575,8.575
0.00219853,28.5739,8.77175,8.575,8.575
0.00220515,28.5739,8.77234,8.575,8.575
0.00221177,28.5739,8.77292,8.575,8.575
0.00221839,28.5739,8.77351,8.575,8.575
0.00222502,28.5739,8.77409,8.575,8.575
0.00223164,28.5739,8.77468,8.575,8.575
0.00223826,28.5739,8.77526,8.575,8.575
0.00224488,28.5739,8.77585,8.575,8.575
0.00225151,28.5739,8.77643,8.575,8.575
0.00225813,28.5739,8.77702,8.575,8.575
0.00226475,28.5739,8.7776,8.575,8.575
0.00227137,28.5739,8.77819,8.575,8.575
0.00227799,28.5739,8.77878,8.575,8.575
0.00228462,28.5739,8.77937,8.575,8.575
0.00229124,28.5739,8.77995,8.575,8.575
0.00229786,28.5739,8.78054,8.575,8.575
0.00230448,28.5739,8.78112,8.575,8.575
0.0023111,28.5739,8.78171,8.575,8.575
0.00231773,28.5739,8.78229,8.575,8.575
0.00232435,28.5739,8.78288,8.575,8.575
0.00233097,28.5739,8.78346,8.575,8.575
0.00233759,28.5739,8.78404,8.575,8.575
0.00234421,28.5739,8.78463,8.575,8.575
0.00235084,28.5739,8.78521,8.575,8.575
0.00235746,28.5739,8.7858,8.575,8.575
0.00236408,28.5739,8.78638,8.575,8.575
0.0023707,28.5739,8.78696,8.575,8.575
0.00237732,28.5739,8.78755,8.575,8.575
0.00238395,28.5739,8.78813,8.575,8.575
0.00239057,28.5739,8.78872,8.575,8.575
0.00239719,28.5739,8.7893,8.575,8.575
0.00240381,28.5739,8.78988,8.575,8.575
0.00241043,28.5739,8.79047,8.575,8.575
0.00241706,28.5739,8.79105,8.575,8.575
0.00242368,28.5739,8.79163,8.575,8.575
0.0024303,28.5739,8.79222,8.575,8.575
0.00243692,28.5739,8.7928,8.575,8.575
0.00244355,28.5739,8.79338,8.575,8.575
0.00245017,28.5739,8.79397,8.575,8.575
0.00245679,28.5739,8.79455,8.575,8.575
0.00246341,28.5739,8.79513,8.575,8.575
0.00247003,28.5739,8.79572,8.575,8.575
0.00247666,28.5739,8.7963,8.575,8.575
0.00248328,28.5739,8.79688,8.575,8.575
0.0024899,28.5739,8.79746,8.575,8.575
0.00249652,28.5739,8.79805,8.575,8.575
0.00250314,28.5739,8.79863,8.575,8.575
0.00250977,28.5739,8.79921,8.575,8.575
0.00251639,28.5739,8.7998,8.575,8.575
0.00252301,28.5739,8.80038,8.575,8.575
0.00252963,28.5739,8.80097,8.575,8.575
0.00253625,28.5739,8.80155,8.575,8.575
0.00254288,28.5739,8.80214,8.575,8.575
0.0025495,28.5739,8.80272,8.575,8.575
0.00255612,28.5739,8.80331,8.575,8.575
0.00256274,28.5739,8.80389,8.575,8.575
0.00256936,28.5739,8.80448,8.575,8.575
0.00257599,28.5739,8.80506,8.575,8.575
0.00258261,28.5739,8.80564,8.575,8.575
0.00258923,28.5739,8.80623,8.575,8.575
0.00259585,28.5739,8.80681,8.575,8.575
0.00260247,28.5739,8.80739,8.575,8.575
0.0026091,28.5739,8.80797,8.575,8.575
0.00261572,28.5739,8.80855,8.575,8.575
0.00262234,28.5739,8.80913,8.575,8.575
0.00262896,28.5739,8.80971,8.575,8.575
0.00263559,28.5739,8.8103,8.575,8.575
0.00264221,28.5739,8.81088,8.575,8.575
0.00264883,28.5739,8.81146,8.575,8.575
0.00265545,28.5739,8.81204,8.575,8.575
0.00266207,28.5739,8.81262,8.575,8.575
0.0026687,28.5739,8.8132,8.575,8.575
0.00267532,28.5739,8.81378,8.575,8.575
0.00268194,28.5739,8.81436,8.575,8.575
0.00268856,28.5739,8.81494,8.575,8.575
0.00269518,28.5739,8.81552,8.575,8.575
0.00270181,28.5739,8.8161,8.575,8.575
0.00270843,28.5739,8.81668,8.575,8.575
0.00271505,28.5739,8.81726,8.575,8.575
0.00272167,28.5739,8.81784,8.575,8.575
0.00272829,28.5739,8.81842,8.575,8.575
0.00273492,28.5739,8.819,8.575,8.575
0.00274154,28.5739,8.81958,8.575,8.575
0.00274816,28.5739,8.82016,8.575,8.575
0.00275478,28.5739,8.82074,8.575,8.575
0.0027614,28.5739,8.82132,8.575,8.575
0.00276803,28.5739,8.8219,8.575,8.575
0.00277465,28.5739,8.82249,8.575,8.575
0.00278127,28.5739,8.82308,8.575,8.575
0.00278789,28.5739,8.82366,8.575,8.575
0.00279452,28.5739,8.82425,8.575,8.575
0.00280114,28.5739,8.82484,8.575,8.575
0.00280776,28.5739,8.82543,8.575,8.575
0.00281438,28.5739,8.82601,8.575,8.575
0.002821,28.5739,8.8266,8.575,8.575
0.00282763,28.5739,8.82718,8.575,8.575
0.00283425,28.5739,8.82777,8.575,8.575
0.00284087,28.5739,8.82835,8.575,8.575
0.00284749,28.5739,8.82894,8.575,8.575
0.00285411,28.5739,8.82953,8.575,8.575
0.00286074,28.5739,8.83011,8.575,8.575
0.00286736,28.5739,8.8307,8.575,8.575
0.00287398,28.5739,8.83128,8.575,8.575
0.0028806,28.5739,8.83187,8.575,8.575
0.00288722,28.5739,8.83245,8.575,8.575
0.00289385,28.5739,8.83303,8.575,8.575
0.00290047,28.5739,8.83362,8.575,8.575
0.00290709,28.5739,8.8342,8.575,8.575
0.00291371,28.5739,8.83478,8.575,8.575
0.00292033,28.5739,8.83537,8.575,8.575
0.00292696,28.5739,8.83595,8.575,8.575
0.00293358,28.5739,8.83653,8.575,8.575
0.0029402,28.5739,8.83712,8.575,8.575
0.00294682,28.5739,8.8377,8.575,8.575
0.00295344,28.5739,8.83828,8.575,8.575
0.00296007,28.5739,8.83886,8.575,8.575
0.00296669,28.5739,8.83945,8.575,8.575
0.00297331,28.5739,8.84003,8.575,8.575
0.00297993,28.5739,8.84061,8.575,8.575
0.00298656,28.5739,8.8412,8.575,8.575
0.00299318,28.5739,8.84178,8.575,8.575
0.0029998,28.5739,8.84237,8.575,8.575
0.00300642,28.5739,8.84295,8.575,8.575
0.00301304,28.5739,8.84353,8.575,8.575
0.00301967,28.5739,8.84412,8.575,8.575
0.00302629,28.5739,8.8447,8.575,8.575
0.00303291,28.5739,8.84528,8.575,8.575
0.00303953,28.5739,8.84586,8.575,8.575
0.00304615,28.5739,8.84645,8.575,8.575
0.00305278,28.5739,8.84703,8.575,8.575
0.0030594,28.5739,8.84762,8.575,8.575
0.00306602,28.5739,8.8482,8.575,8.575
0.00307264,28.5739,8.84878,8.575,8.575
0.00307926,28.5739,8.84937,8.575,8.575
0.00308589,28.5739,8.84995,8.575,8.575
0.00309251,28.5739,8.85053,8.575,8.575
0.00309913,28.5739,8.85111,8.575,8.575
0.00310575,28.5739,8.85169,8.575,8.575
0.00311237,28.5739,8.85228,8.575,8.575
0.003119,28.5739,8.85286,8.575,8.575
0.00312562,28.5739,8.85344,8.575,8.575
0.00313224,28.5739,8.85402,8.575,8.575
0.00313886,28.5739,8.85461,8.575,8.575
0.00314548,28.5739,8.85519,8.575,8.575
0.00315211,28.5739,8.85578,8.575,8.575
0.00315873,28.5739,8.85636,8.575,8.575
0.00316535,28.5739,8.85694,8.575,8.575
0.00317197,28.5739,8.85752,8.575,8.575
0.0031786,28.5739,8.8581,8.575,8.575
0.00318522,28.5739,8.85868,8.575,8.575
0.00319184,28.5739,8.85926,8.575,8.575
0.00319846,28.5739,8.85985,8.575,8.575
0.00320508,28.5739,8.86043,8.575,8.575
0.00321171,28.5739,8.86101,8.575,8.575
0.00321833,28.5739,8.86159,8.575,8.575
0.00322495,28.5739,8.86217,8.575,8.575
0.00323157,28.5739,8.86275,8.575,8.575
0.00323819,28.5739,8.86333,8.575,8.575
0.00324482,28.5739,8.86391,8.575,8.575
0.00325144,28.5739,8.86449,8.575,8.575
0.00325806,28.5739,8.86507,8.575,8.575
0.00326468,28.5739,8.86565,8.575,8.575
0.0032713,28.5739,8.86623,8.575,8.575
0.00327793,28.5739,8.8668,8.575,8.575
0.00328455,28.5739,8.86738,8.575,8.575
0.00329117,28.5739,8.86796,8.575,8.575
0.00329779,28.5739,8.86854,8.575,8.575
0.00330441,28.5739,8.86912,8.575,8.575
0.00331104,28.5739,8.8697,8.65019,8.575
0.00331766,28.5739,8.87028,9.04494,8.57503
0.00332428,28.5739,8.87086,10.0789,8.5751
0.0033309,28.5739,8.87144,11.8822,8.57527
0.00333753,28.5739,8.87202,14.2439,8.57556
0.00334415,28.5739,8.8726,16.7273,8.57599
0.00335077,28.5739,8.87317,18.9154,8.57655
0.00335739,28.5739,8.87375,20.5783,8.57722
0.00336401,28.5739,8.87433,21.692,8.57796
0.00337064,28.5739,8.87491,22.36,8.57874
0.00337726,28.5739,8.87548,22.7243,8.57955
0.00338388,28.5739,8.87606,22.9081,8.58037
0.0033905,28.5739,8.87664,22.9963,8.5812
0.00339712,28.5739,8.87722,23.0386,8.58203
0.00340375,28.5739,8.8778,23.0606,8.58286
0.00341037,28.5739,8.87838,23.0743,8.5837
0.00341699,28.5739,8.87896,23.0849,8.58453
0.00342361,28.5739,8.87954,23.0943,8.58537
0.00343023,28.5739,8.88012,23.1033,8.5862
0.00343686,28.5739,8.8807,23.112,8.58704
0.00344348,28.5739,8.88128,23.1205,8.58788
0.0034501,28.5739,8.88185,23.129,8.58872
0.00345672,28.5739,8.88243,23.1373,8.58955
0.00346334,28.5739,8.88301,23.1454,8.59039
0.00346997,28.5739,8.88358,23.1535,8.59123
0.00347659,28.5739,8.88416,23.1615,8.59207
0.00348321,28.5739,8.88474,23.1693,8.59291
0.00348983,28.5739,8.88531,23.177,8.59375
0.00349645,28.5739,8.88589,23.1846,8.59459
0.00350308,28.5739,8.88646,23.192,8.59543
0.0035097,28.5739,8.88704,23.1994,8.59627
0.00351632,28.5739,8.88762,23.2066,8.59711
0.00352294,28.5739,8.88819,23.2137,8.59796
0.00352957,28.5739,8.88877,23.2207,8.5988
0.00353619,28.5739,8.88935,23.2275,8.59964
0.00354281,28.5739,8.88993,23.2343,8.60048
0.00354943,28.5739,8.89051,23.2409,8.60133
0.00355605,28.5739,8.89109,23.2474,8.60217
0.00356268,28.5739,8.89166,23.2538,8.60302
0.0035693,28.5739,8.89224,23.2601,8.60386
0.00357592,28.5739,8.89282,23.2662,8.6047
0.00358254,28.5739,8.89339,23.2723,8.60555
0.00358916,28.5739,8.89397,23.2782,8.60639
0.00359579,28.5739,8.89455,23.284,8.60724
0.00360241,28.5739,8.89512,23.2898,8.60809
0.00360903,28.5739,8.8957,23.2954,8.60893
0.00361565,28.5739,8.89627,23.3009,8.60978
0.00362227,28.5739,8.89685,23.3063,8.61063
0.0036289,28.5739,8.89743,23.3115,8.61147
0.00363552,28.5739,8.898,23.3167,8.61232
0.00364214,28.5739,8.89858,23.3218,8.61317
0.00364876,28.5739,8.89916,23.3267,8.61401
0.00365538,28.5739,8.89974,23.3316,8.61486
0.00366201,28.5739,8.90032,23.3364,8.61571
0.00366863,28.5739,8.9009,23.341,8.61656
0.00367525,28.5739,8.90148,23.3456,8.61741
0.00368187,28.5739,8.90206,23.35,8.61826
0.00368849,28.5739,8.90264,23.3544,8.6191
0.00369512,28.5739,8.90322,23.3586,8.61995
0.00370174,28.5739,8.9038,23.3628,8.6208
0.00370836,28.5739,8.90438,23.3668,8.62165
0.00371498,28.5739,8.90497,23.3708,8.6225
0.00372161,28.5739,8.90555,23.3747,8.62335
0.00372823,28.5739,8.90613,23.3784,8.6242
0.00373485,28.5739,8.90671,23.3821,8.62505
0.00374147,28.5739,8.90729,23.3857,8.6259
0.00374809,28.5739,8.90787,23.3892,8.62675
0.00375472,28.5739,8.90845,23.3926,8.6276
0.00376134,28.5739,8.90903,23.3959,8.62845
0.00376796,28.5739,8.90961,23.3991,8.6293
0.00377458,28.5739,8.91019,23.4023,8.63016
