t,E_left,E_right,E_exact_left,E_exact_right
0.00380107,6.16255,8.63754,0,0
0.00380769,6.18777,8.6371,0,0
0.00381431,6.21719,8.63659,0,0
0.00382094,6.25074,8.63602,0,0
0.00382756,6.28837,8.63538,0,0
0.00383418,6.33002,8.63468,0,0
0.0038408,6.3756,8.63391,0,0
0.00384742,6.42504,8.63307,0,0
0.00385405,6.47826,8.63218,0,0
0.00386067,6.53516,8.63122,0,0
0.00386729,6.59564,8.6302,0,0
0.00387391,6.6596,8.62912,0,0
0.00388054,6.72693,8.62798,0,0
0.00388716,6.7975,8.62678,0,0
0.00389378,6.87121,8.62553,0,0
0.0039004,6.94791,8.62423,0,0
0.00390702,7.02748,8.62287,0,0
0.00391365,7.10979,8.62147,0,0
0.00392027,7.19468,8.62002,0,0
0.00392689,7.28202,8.61852,0,0
0.00393351,7.37165,8.61698,0,0
0.00394013,7.46342,8.6154,0,0
0.00394676,7.55717,8.61379,0,0
0.00395338,7.65274,8.61214,0,0
0.00396,7.74996,8.61045,0,0
0.00396662,7.84867,8.60874,0,0
0.00397324,7.9487,8.60701,0,0
0.00397987,8.04987,8.60524,0,0
0.00398649,8.15202,8.60346,0,0
0.00399311,8.25496,8.60166,0,0
0.00399973,8.35852,8.59986,0,0
0.00400635,8.46252,8.59804,0,0
0.00401298,8.56678,8.59621,0,0
0.0040196,8.67112,8.59438,0,0
0.00402622,8.77537,8.59256,0,0
0.00403284,8.87934,8.59074,0,0
0.00403946,8.98285,8.58893,0,0
0.00404609,9.08573,8.58713,0,0
0.00405271,9.1878,8.58535,0,0
0.00405933,9.28887,8.58358,0,0
0.00406595,9.38879,8.58184,0,0
0.00407258,9.48738,8.58012,0,0
0.0040792,9.58446,8.57844,0,0
0.00408582,9.67987,8.57679,0,0
0.00409244,9.77344,8.57517,0,0
0.00409906,9.86501,8.5736,0,0
0.00410569,9.95443,8.57208,0,0
0.00411231,10.0415,8.57059,0,0
0.00411893,10.1262,8.56916,0,0
0.00412555,10.2082,8.56778,0,0
0.00413217,10.2875,8.56645,0,0
0.0041388,10.3639,8.56519,0,0
0.00414542,10.4373,8.56398,0,0
0.00415204,10.5075,8.56283,0,0
0.00415866,10.5745,8.56176,0,0
0.00416528,10.638,8.56075,0,0
0.00417191,10.6981,8.55981,0,0
0.00417853,10.7546,8.55893,0,0
0.00418515,10.8074,8.55813,0,0
0.00419177,10.8563,8.55741,0,0
0.00419839,10.9014,8.55675,0,0
0.00420502,10.9426,8.55618,0,0
0.00421164,10.9797,8.55568,0,0
0.00421826,11.0127,8.55525,0,0
0.00422488,11.0416,8.5549,0,0
